post_id,commentUser,timestamp,likes,polarity,sentiment,keywords_comments
1,wilsonjunior5055,2023-06-05 12:27:24+00:00,0.0,0.2074,neutral,"['dm please', 'send dm', 'proposal', 'u', 'send']"
1,mariavmh,2023-06-04 16:46:40+00:00,0.0,-0.5351,negative,[]
1,mariavmh,2023-06-04 16:46:34+00:00,0.0,0.8857,positive,"['eyes smiling_face_with_heart', 'smiling_face_with_heart eyes', 'smiling_face_with_heart', 'eyes']"
1,stylemesoftly_,2023-06-04 15:44:54+00:00,0.0,0.2744,neutral,"['red_heart', 'red_heart red_heart']"
1,jillviv,2023-06-04 15:06:03+00:00,0.0,0.9805,positive,"['smiling_face_with_heart eyes', 'smiling_face_with_heart', 'eyes', 'glad', 'eyes smiling_face_with_heart']"
1,sevdalaland,2023-06-04 08:39:28+00:00,0.0,0.0278,neutral,"['fire', 'fire fire']"
1,grace.hanna92,2023-06-03 22:47:32+00:00,0.0,0.9732,positive,"['perfection', 'smiling_face_with_heart eyes', 'smiling_face_with_heart', 'eyes']"
1,vivi__1988,2023-06-03 22:47:21+00:00,0.0,0.9289,positive,"['best ever', 'ever', 'best', 'fire']"
1,samar.helou1,2023-06-03 22:47:06+00:00,0.0,0.9842,positive,"['gorgeous smiling_face_with_heart', 'gorgeous', 'smiling_face_with_heart eyes', 'smiling_face_with_heart', 'eyes']"
1,maria.boutros9,2023-06-03 22:46:31+00:00,0.0,0.9581,positive,"['usual', 'stunning', 'red_heart']"
2,scarlett.jones_95,2023-06-05 11:29:58+00:00,0.0,0.1726,neutral,"['sure', 'got', 'make', 'hey', 'want']"
2,tropichics,2023-05-08 01:29:45+00:00,0.0,0.9768,positive,"['colors', 'stunning']"
2,nabeelageorge,2023-04-23 10:33:41+00:00,0.0,-0.0778,neutral,"['though', 'address', 'home', 'get']"
2,madisonstyleblog,2023-04-16 11:01:27+00:00,0.0,0.9567,positive,"['pretty smiling_face_with_heart', 'pretty', 'smiling_face_with_heart eyes', 'smiling_face_with_heart', 'eyes']"
2,rolly.mag,2023-02-06 01:44:58+00:00,0.0,0.9662,positive,"['words', 'beautiful', 'red_heart']"
2,antgeorgopoulos,2023-02-01 09:11:56+00:00,0.0,0.0321,neutral,[]
3,stylesprinter,2023-06-03 01:45:35+00:00,0.0,0.9756,positive,"['fire', 'look fire', 'fire fire', 'look', 'love']"
3,gibz_photography,2023-05-30 14:43:44+00:00,0.0,0.728,positive,"['smiling_face_with_heart eyes', 'smiling_face_with_heart', 'eyes']"
3,annkurtoglyan,2023-05-30 13:42:55+00:00,0.0,0.9754,positive,"['mary', 'incredible', 'smiling_face_with_heart eyes', 'smiling_face_with_heart', 'eyes']"
3,ileniatoma_,2023-05-30 09:33:28+00:00,0.0,0.1436,neutral,['fire']
3,gabrielaaamedinaaa,2023-05-30 06:38:53+00:00,0.0,0.9789,positive,"['love look', 'look smiling_face_with_heart', 'look', 'love', 'smiling_face_with_heart eyes']"
3,valyamihei,2023-05-30 02:39:04+00:00,0.0,0.1141,neutral,['white_heart']
3,verivanovaa,2023-05-30 02:29:51+00:00,0.0,0.2019,neutral,"['red_heart', 'red_heart red_heart']"
3,zaharova_zoya_,2023-05-30 02:28:48+00:00,0.0,-0.4402,negative,['broken_heart']
3,sashasergeva,2023-05-30 02:27:17+00:00,0.0,0.9793,positive,"['love look', 'look', 'love']"
4,pellelannefors,2023-05-31 17:23:45+00:00,0.0,0.1317,neutral,"['ok_hand_medium_skin_tone', 'white_heart smiling_face_with_sunglasses', 'smiling_face_with_sunglasses', 'white_heart']"
4,talitakalloe,2023-04-27 13:46:38+00:00,0.0,0.7314,positive,"['dark_skin_tone', 'one kind', 'clapping_hands_medium dark_skin_tone', 'raising_hands_medium dark_skin_tone', 'raising_hands_medium']"
4,i.amivana,2023-04-16 11:09:17+00:00,0.0,-0.025,neutral,"['size wearing', 'denim', 'wearing', 'babe', 'size']"
4,bysiss,2023-04-03 08:03:22+00:00,0.0,0.3705,neutral,"['butterfly', 'two_hearts', 'butterfly butterfly', 'two_hearts two_hearts']"
4,joewest7114,2023-04-02 17:27:36+00:00,0.0,-0.0355,neutral,"['tulip collision', 'tulip', 'heart_exclamation', 'collision', 'heart_on_fire']"
4,fabio__montedoro,2023-03-29 19:34:51+00:00,0.0,0.4902,positive,"['nice', 'black_heart']"
4,lenalovefrank,2023-03-25 15:18:32+00:00,0.0,-0.0665,neutral,['fire']
4,riot_fox_,2023-03-20 19:39:58+00:00,0.0,0.9545,positive,"['love red_heart', 'love', 'red_heart']"
4,carolineebo,2023-03-11 12:17:48+00:00,0.0,-0.4753,negative,['obsessed']
