post_id,ownerUsername,timestamp,clean_comment,sentiment_label
1,wilsonjunior5055,2023-06-05 12:27:24+00:00,i have a proposal for u send me a dm please,positive
1,mariavmh,2023-06-04 16:46:40+00:00,woaaaah,neutral
1,mariavmh,2023-06-04 16:46:34+00:00,:smiling_face_with_hearteyes::smiling_face_with_hearteyes::smiling_face_with_hearteyes::smiling_face_with_hearteyes::smiling_face_with_hearteyes::smiling_face_with_hearteyes:,neutral
1,stylemesoftly_,2023-06-04 15:44:54+00:00,:red_heart::red_heart::red_heart:,neutral
1,jillviv,2023-06-04 15:06:03+00:00,:smiling_face_with_hearteyes::smiling_face_with_hearteyes::smiling_face_with_hearteyes: so glad you made it kilianparis,positive
1,sevdalaland,2023-06-04 08:39:28+00:00,:fire::fire::fire:,neutral
1,grace.hanna92,2023-06-03 22:47:32+00:00,this is perfection :smiling_face_with_hearteyes:,positive
1,vivi__1988,2023-06-03 22:47:21+00:00,the best ever :fire:,positive
1,samar.helou1,2023-06-03 22:47:06+00:00,youre so gorgeous :smiling_face_with_hearteyes:,positive
1,maria.boutros9,2023-06-03 22:46:31+00:00,stunning as usual :red_heart:,positive
2,scarlett.jones_95,2023-06-05 11:29:58+00:00,hey tina i just want to make sure you got my message :,positive
2,tropichics,2023-05-08 01:29:45+00:00,all the colors these are stunning,positive
2,nabeelageorge,2023-04-23 10:33:41+00:00,how did moccona get your home address though,neutral
2,madisonstyleblog,2023-04-16 11:01:27+00:00,so pretty :smiling_face_with_hearteyes:,positive
2,rolly.mag,2023-02-06 01:44:58+00:00,just caught up on this beautiful words :red_heart:,positive
2,antgeorgopoulos,2023-02-01 09:11:56+00:00,cristinadalton22,neutral
3,stylesprinter,2023-06-03 01:45:35+00:00,love this monochrome look :fire::fire::fire:,positive
3,gibz_photography,2023-05-30 14:43:44+00:00,:smiling_face_with_hearteyes:,neutral
3,annkurtoglyan,2023-05-30 13:42:55+00:00,mary this is incredible :smiling_face_with_hearteyes:,neutral
3,ileniatoma_,2023-05-30 09:33:28+00:00,the drama:fire:,neutral
3,gabrielaaamedinaaa,2023-05-30 06:38:53+00:00,love this look :smiling_face_with_hearteyes:,positive
3,valyamihei,2023-05-30 02:39:04+00:00,:white_heart:,neutral
3,verivanovaa,2023-05-30 02:29:51+00:00,:red_heart::red_heart:,neutral
3,zaharova_zoya_,2023-05-30 02:28:48+00:00,:broken_heart:,neutral
3,sashasergeva,2023-05-30 02:27:17+00:00,love this look,positive
4,pellelannefors,2023-05-31 17:23:45+00:00,:ok_hand_medium_skin_tone::white_heart::smiling_face_with_sunglasses:,neutral
4,talitakalloe,2023-04-27 13:46:38+00:00,zo terecht you are one of a kind :red_heart::clapping_hands_mediumdark_skin_tone::raising_hands_mediumdark_skin_tone:,positive
